"Title","Artist","Album","Time","BPM","Key","URL"
"18 - Lloyd Banks - Get Involved (Prod. By Stoopid Beats)","Funk Flex","Who You Mad At? Me Or Yourself?","03:12","80.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFunk%20Flex%20-%2018%20-%20Lloyd%20Banks%20-%20Get%20Involved%20(Prod.%20By%20Stoopid%20Beats).mp3"
"19 - Lloyd Banks Ft Fabolous J","DJ Whiteowl & G-Unit","The Return Of G-Unit","06:23","82.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDJ%20Whiteowl%20&%20G-Unit%20-%2019%20-%20Lloyd%20Banks%20Ft%20Fabolous%20J.mp3"
"2 Lil Shorty","Don Toliver","Donny Womack","02:30","126.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDon%20Toliver%20-%202%20Lil%20Shorty.mp3"
"20 - Red Cafe & Freck Billiona","DJ Whiteowl","Whiteowl Drop That 164","02:32","90.0","5m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDJ%20Whiteowl%20-%2020%20-%20Red%20Cafe%20&%20Freck%20Billiona.mp3"
"200","Future & Young Thug","SUPER SLIMEY","02:27","146.0","11d","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFuture%20&%20Young%20Thug%20-%20200.mp3"
"200 MPH","Bad Bunny feat. Diplo","X 100PRE","02:51","80.0","10m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CBad%20Bunny%20feat.%20Diplo%20-%20200%20MPH.mp3"
"2000 EXCURSION","Travis Scott, Sheck Wes, & Don Toliver","Hip-Hop & RNB Singles (LDS 246)","03:57","140.0","9m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CTravis%20Scott,%20Sheck%20Wes,%20&%20Don%20Toliver%20-%202000%20EXCURSION.mp3"
"2009","Mac Miller","Swimming","05:48","153.5","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMac%20Miller%20-%202009.mp3"
"2024","Playboi Carti","2024","03:29","148.0","1m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CPlayboi%20Carti%20-%202024.mp3"
"21 - Its Like That Ft Jadakiss","DJ Whiteowl","Street Kings 7 (50 Cent Editio","04:08","86.3","7m","file://localhost/G:/My%20Drive/Music/Rap/DJ%20Whiteowl%20-%2021%20-%20Its%20Like%20That%20Ft%20Jadakiss.mp3"
"21 Gun Salute","Styles P, Havoc","Wreckage Manner","03:15","81.9","4m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CStyles%20P,%20Havoc%20-%2021%20Gun%20Salute.mp3"
"21 Questions","50 Cent","Greatest Hits","03:46","93.1","6m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5C50%20Cent%20-%2021%20Questions.mp3"
"22 - 1998 Pt 1 (Rare)","DJ Whiteowl","Street Kings 7 (50 Cent Editio","00:37","91.5","12m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDJ%20Whiteowl%20-%2022%20-%201998%20Pt%201%20(Rare).mp3"
"22 Prodigy, Action Bronson & Raekwon - Seven Triplets","Mobb Deep","Flash Mobb (20Th Year Anniversary)","03:05","81.7","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CMobb%20Deep%20-%2022%20Prodigy,%20Action%20Bronson%20&%20Raekwon%20-%20Seven%20Triplets.mp3"
"23 - 99 Freestyle (Rare)","DJ Whiteowl","Street Kings 7 (50 Cent Editio","00:53","95.1","11m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CDJ%20Whiteowl%20-%2023%20-%2099%20Freestyle%20(Rare).mp3"
"24 - Jae Millz & Lil Wayne  - Buy This Buy That (Prod. By Mad Skrews)","Funk Flex","Who You Mad At? Me Or Yourself?","03:53","132.0","3m","file:///G:%5CMy%20Drive%5CMusic%5CdjayPro%5Cmusic%5CFunk%20Flex%20-%2024%20-%20Jae%20Millz%20&%20Lil%20Wayne%20%20-%20Buy%20This%20Buy%20That%20(Prod.%20By%20Mad%20Skrews).mp3"
